CLAF,PRID,Drain,Layer,TopDep,BotDep,CFRAG,SDTO,STPC,CLPC,PSCL,BULK,TAWK,TAWC,CECS,BSAT,CECc,PHAQ,TCEQ,GYPS,ELCO,TOTC,TOTN,CNrt,ECEC,ALSA,ESP
Bg,WD-Bg,I,D2,20,40,5,41,30,29,M,1.450000048,,14,11.5,82,40,6.199999809,0,0,0,5.599999905,0.560000002,9.720000267,14.94999981,0,2
Bg,WD-Bg,I,D3,40,60,10,38,29,33,M,1.529999971,,15,12.27000046,80,37.25,6.300000191,0,0,0,4,0.5,8.859999657,13.5,0,2
Bg,WD-Bg,I,D4,60,80,14,36,30,34,M,1.570000052,,17,12.60999966,87,36,6.46999979,0,0,0,3.5,0.5,7.340000153,15,0,2
Bg,WD-Bg,I,D5,80,100,15,35,29,36,F,1.529999971,,17,13,92,36,6.599999905,1,1,0.300000012,2.799999952,0.400000006,7,17.5,0,2
Bh,WD-Bh,W,D1,0,20,7,44,28,28,M,1.129999995,,17,19.31999969,19,39.40000153,5.110000134,0,0,0,29.38999939,2.799999952,12.43999958,29,15,2
Bh,WD-Bh,W,D2,20,40,9,43,28,29,M,1.139999986,,11,15.35000038,19,42,5.199999809,0,0,0,16.85000038,1.5,12.89999962,30.39999962,20,2
Bh,WD-Bh,W,D3,40,60,7,44,27,29,M,1.139999986,,16,14.02000046,19,34.25,5.199999809,0,0,0,11,1,10.28999996,26,18,2
Bh,WD-Bh,W,D4,60,80,7,46,26,28,M,1.159999967,,14,13.05000019,15,34,5.099999905,0,0,0,7,0.819999993,9.800000191,27.5,21,2
Bh,WD-Bh,W,D5,80,100,15,47,26,27,M,1.179999948,,13,10.89999962,19,38,5.199999809,0,0,0,5,0.699999988,8.380000114,35,30,3
Bk,WD-Bk,W,D1,0,20,10,36,37,27,M,1.399999976,,12,18.15999985,100,55,8.020000458,60.84999847,1,0.300000012,7.070000172,0.800000012,9.279999733,28.5,0,2
Bk,WD-Bk,W,D2,20,40,10,33,38,29,M,1.429999948,,13,18.95999908,100,55.88000107,8.149999619,76,1,0.300000012,5.199999809,0.589999974,8.090000153,31,0,2
Bk,WD-Bk,W,D3,40,60,10,34,38,28,M,1.440000057,,12,18.70000076,100,55.5,8.199999809,89.62000275,14,0.300000012,4.21999979,0.5,7.670000076,32,0,2
Bk,WD-Bk,W,D4,60,80,10,34,40,26,M,1.440000057,,14,19,100,58.70000076,8.199999809,99,14,0.300000012,3.410000086,0.400000006,7.199999809,38.29999924,0,3
Bk,WD-Bk,W,D5,80,100,15,35,39,26,M,1.5,,13,16.85000038,100,55.25,8.199999809,103,36,0.300000012,2.74000001,0.400000006,7,38.61999893,0,2
Bv,WD-Bv,M,D1,0,20,5,31,27,42,F,1.320000052,,15,25.10000038,91,58.70000076,6.78000021,1,1,0.219999999,9.350000381,1.080000043,11.85000038,28,0,2
Bv,WD-Bv,M,D2,20,40,6,27,26,47,F,1.379999995,,15,29,94,59,6.900000095,1,1,0.479999989,5.96999979,0.660000026,10.94999981,29.5,0,2
Bv,WD-Bv,M,D3,40,60,9,24,26,50,F,1.399999976,,12,30.89999962,100,62.29999924,7.300000191,53.95000076,1,0.389999986,4.769999981,0.600000024,10.59000015,31.5,0,2
Bv,WD-Bv,M,D4,60,80,8,25,27,48,F,1.379999995,,14,27.14999962,100,60,7.25,25,1,0.330000013,3.849999905,0.5,9.5,28,0,3
Bv,WD-Bv,M,D5,80,100,7,24,29,47,F,1.320000052,,14,27.20000076,100,61,7.599999905,37.59999847,1,0.379999995,3.650000095,0.600000024,7.880000114,29,0,2
Bx,WD-Bx,M,D1,0,20,11,36,43,21,M,1.330000043,,13,13,71,39,5.010000229,0,0,0,18,1.460000038,13.23999977,18,23,3
Bx,WD-Bx,M,D2,20,40,16,41,38,21,M,1.549999952,,12,10.25,68,40,5.300000191,0,0,0,11.39000034,1.019999981,12.93999958,25,29,2
Bx,WD-Bx,M,D3,40,60,30,43,38,19,M,1.679999948,,12,10.39999962,96,41,5.570000172,0,0,0,6.070000172,0.879999995,11.18999958,25,0,4
Bx,WD-Bx,M,D4,60,80,13,37,39,24,M,1.679999948,,13,11.69999981,96,41,5.179999828,0,0,0,5.21999979,0.810000002,13.35999966,29,32,2
Bx,WD-Bx,M,D5,80,100,12,33,42,25,M,1.409999967,,13,12.85000038,95,39.5,5.300000191,0,0,0,5.800000191,0.899999976,13.52999973,19,30,2
C,WD-C,W,D1,0,20,4,27,43,30,M,1.200000048,,14,25.39999962,100,62,7.25,21,1,0.219999999,20.04999924,2,10.82999992,30,0,1
C,WD-C,W,D2,20,40,4,26,43,31,M,1.25,,13,24.5,100,64,7.360000134,36,1,0.360000014,13,1.559999943,10.39999962,29.94000053,0,1
C,WD-C,W,D3,40,60,5,26,43,31,M,1.309999943,,12,22.85000038,100,66,7.650000095,76,1,0.379999995,9.199999809,1.100000024,9.920000076,27,0,2
C,WD-C,W,D4,60,80,10,26,43,31,M,1.360000014,,13,21.21999931,100,67,7.800000191,92,1,0.300000012,5.699999809,0.800000012,8.75,28,0,2
C,WD-C,W,D5,80,100,10,26,43,31,M,1.389999986,,13,17.89999962,100,63.20000076,8,95.5,1,0.300000012,4,0.600000024,7.5,26.5,0,2
Cg,WD-Cg,I,D1,0,20,4,27,43,30,M,1.200000048,,14,25.39999962,100,62,7.25,21,1,0.219999999,19,2,10.82999992,30,0,1
Cg,WD-Cg,I,D2,20,40,4,26,43,31,M,1.25,,13,24.5,100,64,7.360000134,36,1,0.360000014,10,1.559999943,10.39999962,29.94000053,0,1
