CROPNAME,GROUP,Legume,C3C4,Ann-Per,Form,Harvest Index,Dry Fraction,Aboveground Fraction,N Perc Dry Harv,P Perc Dry Harv,K Perc Dry Harv,Nfix Low,Nfix High,Percent Notes,Nfix Notes
ginger,OtherCrops,nonlegume,C3,annual,herbaceous,0.28,0.8,0.5,2.075,0.225,2.735,,,Average of USDA values in GROUP
spicenes,OtherCrops,nonlegume,C3,perennial,tree,0.28,0.8,0.5,2.075,0.225,2.735,,,Average of USDA values in GROUP
tobacco,OtherCrops,nonlegume,C3,annual,herbaceous,0.28,0.8,0.8,3.75,0.33,4.98,,,USDA
tea,OtherCrops,nonlegume,C3,perennial,shrub,0.28,0.8,0.5,2.075,0.225,2.735,,,Average of USDA values in GROUP
coffee,OtherCrops,nonlegume,C3,perennial,shrub,0.28,0.8,0.5,2.075,0.225,2.735,,,Average of USDA values in GROUP
cocoa,OtherCrops,nonlegume,C3,perennial,shrub,0.28,0.8,0.5,2.075,0.225,2.735,,,Average of USDA values in GROUP
mate,OtherCrops,nonlegume,C3,perennial,shrub,0.28,0.8,0.5,2.075,0.225,2.735,,,Average of USDA values in GROUP
sugarbeet,SugarCrops,nonlegume,C3,annual,herbaceous,0.4,0.12,0.8,0.2,0.03,0.14,,,USDA
sugarcane,SugarCrops,nonlegume,C4,perennial,herbaceous,0.85,0.15,0.85,0.16,0.04,0.37,,,USDA
sugarnes,SugarCrops,nonlegume,C3,annual,herbaceous,0.28,0.56,0.85,0.18,0.035,0.255,,,Average of USDA values in GROUP
brazil,Treenuts,nonlegume,C3,perennial,tree,0.28,0.8,0.75,3.6,0.17,0.5,,,used groundnut value
cashew,Treenuts,nonlegume,C3,perennial,tree,0.28,0.8,0.75,3.6,0.17,0.5,,,used groundnut value
chestnut,Treenuts,nonlegume,C3,perennial,tree,0.28,0.8,0.75,3.6,0.17,0.5,,,used groundnut value
almond,Treenuts,nonlegume,C3,perennial,tree,0.28,0.9,0.75,3.6,0.17,0.5,,,used groundnut value
walnut,Treenuts,nonlegume,C3,perennial,tree,0.28,0.91,0.75,3.6,0.17,0.5,,,used groundnut value
pistachio,Treenuts,nonlegume,C3,perennial,tree,0.28,0.8,0.75,3.6,0.17,0.5,,,used groundnut value
hazelnut,Treenuts,nonlegume,C3,perennial,tree,0.28,0.8,0.75,3.6,0.17,0.5,,,used groundnut value
nutnes,Treenuts,nonlegume,C3,perennial,tree,0.28,0.8,0.75,3.6,0.17,0.5,,,used groundnut value
cabbage,Vegetables&Melons,nonlegume,C3,annual,herbaceous,0.45,0.08,0.85,0.33,0.04,0.27,,,USDA
